id,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_acceso_teconologia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_acceso_velocidad,Banda ancha fija,Dial up,Total,Mbps (Media de bajada)
20232Misiones,2023,2,Misiones,55.18,15.03,28897.0,82058.0,64406.0,12927.0,7183.0,195471.0,51.0,3247.0,34144.0,22649.0,12055.0,3862.0,110815.0,8648.0,195471.0,195471.0,0.0,195471.0,90.55
20232Neuquén,2023,2,Neuquén,78.97,23.5,26379.0,73040.0,35171.0,24046.0,3110.0,161746.0,168.0,984.0,38006.0,13946.0,13275.0,6649.0,85749.0,2969.0,161746.0,161289.0,457.0,161746.0,93.97
20232Río Negro,2023,2,Río Negro,68.56,21.09,26390.0,49684.0,53325.0,16864.0,17116.0,163379.0,111.0,1070.0,29535.0,15050.0,20561.0,22752.0,58834.0,15466.0,163379.0,162848.0,531.0,163379.0,70.76
20232Salta,2023,2,Salta,57.48,13.92,30666.0,97501.0,58275.0,12337.0,6549.0,205328.0,114.0,1042.0,29687.0,67966.0,4523.0,94.0,95063.0,6839.0,205328.0,205323.0,5.0,205328.0,79.1
20232San Juan,2023,2,San Juan,47.52,12.1,21483.0,20200.0,25217.0,23545.0,7004.0,97449.0,24.0,2020.0,21766.0,12810.0,13276.0,10042.0,21369.0,16142.0,97449.0,97189.0,260.0,97449.0,20.39
20232San Luis,2023,2,San Luis,93.41,26.73,4937.0,41949.0,15595.0,77960.0,307.0,140748.0,60.0,624.0,11543.0,23932.0,12756.0,74914.0,15090.0,1829.0,140748.0,140575.0,173.0,140748.0,103.84
20232Santa Cruz,2023,2,Santa Cruz,41.66,12.39,9019.0,23896.0,11269.0,3660.0,758.0,48602.0,49.0,6720.0,10609.0,11253.0,9733.0,3667.0,6315.0,256.0,48602.0,48410.0,192.0,48602.0,15.48
20232Santa Fe,2023,2,Santa Fe,78.83,24.79,126344.0,399669.0,311166.0,44134.0,14501.0,895814.0,468.0,7021.0,89275.0,172672.0,71957.0,24123.0,499408.0,30890.0,895814.0,895706.0,108.0,895814.0,94.87
20232Santiago Del Estero,2023,2,Santiago Del Estero,47.14,11.7,10629.0,80086.0,17244.0,6916.0,2934.0,117809.0,178.0,1152.0,16847.0,55281.0,26520.0,766.0,16066.0,999.0,117809.0,117807.0,2.0,117809.0,37.62
20232Tierra Del Fuego,2023,2,Tierra Del Fuego,106.38,31.54,12392.0,45224.0,525.0,157.0,337.0,58635.0,22.0,831.0,10556.0,12748.0,20962.0,4707.0,3901.0,4908.0,58635.0,58325.0,310.0,58635.0,16.92
