Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2018,4,Mendoza,5.995261280761708,21.48326830018229
2018,4,Misiones,11.122786374160974,40.83524688523133
2018,4,Neuquén,12.3036641165039,41.33266533066133
2018,4,Río Negro,12.458852554589058,40.50477834939433
2018,4,Salta,12.667203417632841,52.30094462945328
2018,4,San Juan,5.677963563633428,22.2897540229415
2018,4,San Luis,11.074608054844225,38.696127792659496
2018,4,Santa Cruz,16.205655088013888,54.460852765078336
2018,4,Santa Fe,17.152064091354916,54.54654707148398
2018,4,Santiago Del Estero,10.934580992932561,44.05904738778945
2018,4,Tierra Del Fuego,27.70319716873613,93.438808748255
2018,4,Tucumán,7.540207322625013,30.438909753900763
2018,3,Buenos Aires,15.664078659863826,48.16059499247745
2018,3,Capital Federal,24.62118410131694,58.84173480441824
2018,3,Catamarca,20.35037332054682,80.00096172340835
2018,3,Chaco,8.386046511627907,31.37566957858867
2018,3,Chubut,14.973213021054649,48.84591967644437
2018,3,Córdoba,29.188344909515013,95.33304008659334
2018,3,Corrientes,9.178096477426784,34.85431309684107
2018,3,Entre Ríos,15.191243676522717,50.80742353469626
2018,3,Formosa,10.048676211745716,39.48025921115953
2018,3,Jujuy,12.14948445418871,47.509513085345965
2018,3,La Pampa,23.593521968913386,71.60746538229982
2018,3,La Rioja,6.253368430096777,23.490635238886988
2018,3,Mendoza,6.017848757208458,21.56407583842862
2018,3,Misiones,10.954715383787345,40.217982355790234
2018,3,Neuquén,12.40148279101625,41.660922965304586
2018,3,Río Negro,13.04264444605781,42.40225876987891
2018,3,Salta,12.647848679988588,52.22056065892853
2018,3,San Juan,5.885494329295203,23.10436561024742
2018,3,San Luis,11.134085377025153,38.903427317237885
2018,3,Santa Cruz,16.26430097793768,54.656154942050755
2018,3,Santa Fe,18.09177783629566,57.5348064141229
2018,3,Santiago Del Estero,11.342008298547702,45.700290047305835
2018,3,Tierra Del Fuego,27.94791459152073,94.26232846031682
2018,3,Tucumán,7.5899406427950975,30.6394387530226
2018,2,Buenos Aires,15.498218831352922,47.75623321358064
2018,2,Capital Federal,24.211823711902433,57.791983965129134
2018,2,Catamarca,19.24593347423757,75.65736206963025
2018,2,Chaco,9.198601722326744,34.41490880253767
2018,2,Chubut,12.506715357541536,40.797842429668776
2018,2,Córdoba,30.27889387915785,98.89321125795728
2018,2,Corrientes,9.122472480979134,34.64225313222656
2018,2,Entre Ríos,15.53938787595679,51.970958440357045
2018,2,Formosa,8.754067210923246,34.39300248401247
